,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,neighborhood_id,rent_price,buy_price,house_type_id,is_new_development,is_renewal_needed,energy_certificate,has_parking,is_exterior,tipo,barrio_pm2,barrio,distr,e_certificate
13534,8208,Piso en venta en calle de Santa Genoveva,"Ventas, Madrid",82.0,69.7,2,1.0,0.5,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,884,190000,HouseType 1: Pisos,0,0,E,0,1,0.0,2.68693,Ventas,Ciudad Lineal,3
13535,8207,Piso en venta en calle Vicente Muzas,"Colina, Madrid",154.0,125.0,4,2.0,1,Neighborhood 44: Colina (4677.53 €/m2) - District 7: Ciudad Lineal,1619,479000,HouseType 1: Pisos,0,0,F,1,1,0.0,4.67753,Colina,Ciudad Lineal,2
13536,8206,Piso en venta en calle Condesa de Venadito,"San Pascual, Madrid",208.0,176.8,4,4.0,1,Neighborhood 41: San Pascual (4015.76 €/m2) - District 7: Ciudad Lineal,1428,395000,HouseType 1: Pisos,0,0,en trámite,1,1,0.0,4.01576,San Pascual,Ciudad Lineal,0
13537,8205,"Piso en venta en calle de Mesena, Madrid","Costillares, Madrid",69.0,58.65,2,1.0,2,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,1250,320000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,4.23569,Costillares,Ciudad Lineal,0
13538,8204,"Piso en venta en calle Bausá, 19","Costillares, Madrid",47.0,33.0,1,1.0,7,Neighborhood 45: Costillares (4235.69 €/m2) - District 7: Ciudad Lineal,1204,301700,HouseType 1: Pisos,0,0,E,1,1,0.0,4.23569,Costillares,Ciudad Lineal,3
13540,8202,"Piso en venta en calle Buen Gobernador, 20","Quintana, Madrid",70.0,59.5,2,1.0,1,Neighborhood 40: Quintana (2900.58 €/m2) - District 7: Ciudad Lineal,1009,230000,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,2.9005799999999997,Quintana,Ciudad Lineal,0
13541,8201,"Piso en venta en calle de la Vereda del Carmen, Madrid","Ventas, Madrid",55.0,46.75,2,1.0,1,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,948,210000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13542,8200,"Piso en venta en MONTEJURRA, 36","Ventas, Madrid",76.0,64.6,3,1.0,5,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,933,205000,HouseType 1: Pisos,0,0,en trámite,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
13543,8199,Piso en venta en Colina,"Ciudad Lineal, Madrid",274.0,232.9,4,3.0,1,Neighborhood 44: Colina (4677.53 €/m2) - District 7: Ciudad Lineal,2416,849000,HouseType 1: Pisos,0,1,E,1,1,0.0,4.67753,Colina,Ciudad Lineal,3
13544,8198,Piso en venta en calle Montejurra,"Ventas, Madrid",79.0,73.0,3,1.0,5,Neighborhood 42: Ventas (2686.93 €/m2) - District 7: Ciudad Lineal,933,205000,HouseType 1: Pisos,0,0,no indicado,0,1,0.0,2.68693,Ventas,Ciudad Lineal,0
